동,아파트이름,아파트일련번호,번지,부번,건축년도,매수구분,거래유형,거래금액,거래구분,부동산소속시군구명,전용면적,층수,지번,토지코드,토지임대여부,등록일자,거래날짜
 ,현대,11110-90,82,0,2000, , ,"43,300", , ,84.92,15,82,1,N, ,2006-06-22
 ,그린,11110-41,23,326,2002, , ,"12,400", , ,45.27,4,23-326,1,N, ,2006-06-10
 ,삼성,11110-73,596,0,1998, , ,"20,300", , ,84.93,1,596,1,N, ,2006-06-03
 ,옥인시민,11110-10,179,3,1971, , ,"22,500", , ,59.5,3,179-3,1,N, ,2006-06-29
 ,낙원,11110-17,288,0,1968, , ,"15,000", , ,70.61,15,288,1,N, ,2006-06-02
 ,MID그린(4동),11110-97,601,5,2002, , ,"16,000", , ,59.55,8,601-5,1,N, ,2006-06-07
 ,아남1,11110-25,4,0,1995, , ,"43,000", , ,84.9,12,4,1,N, ,2006-06-19
 ,동대문상가,11110-32,436,64,1968, , ,"20,500", , ,48.99,5,436-64,1,N, ,2006-06-08
 ,현대,11110-90,82,0,2000, , ,"40,000", , ,84.92,3,82,1,N, ,2006-06-12
 ,크래스빌,11110-101,46,1,2003, , ,"65,000", , ,175.81,4,46-1,1,N, ,2006-06-10
 ,창신이수,11110-42,23,816,2003, , ,"45,000", , ,120.84,14,23-816,1,N, ,2006-06-03
 ,현대,11110-90,82,0,2000, , ,"22,800", , ,60.0,4,82,1,N, ,2006-06-12
 ,MID그린(2동),11110-153,601,1,2002, , ,"15,800", , ,59.26,4,601-1,1,N, ,2006-06-11
